EIDj,LT,TC,Class
CT_range_4,sport,untrustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,untrustworthy,unfair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,sport,untrustworthy,fair
CT_range_1,sport,trustworthy,fair
CT_range_2,sport,trustworthy,fair
CT_range_3,sport,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,untrustworthy,unfair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_1,ECommerce,untrustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
CT_range_4,game,trustworthy,fair
